,VOLUME,OPEN,HIGH,LOW,CLOSE
16/12/1993,76500,46.65606698,46.65619298,46.56245678,46.62474737
17/12/1993,104700,46.40644601,46.59381095,46.3749287,46.5623523
20/12/1993,68800,46.53135584,46.65622201,46.50006072,46.62491386
21/12/1993,205700,46.5625105,46.5626224,248.3419065,46.46884836
22/12/1993,941800,46.593864,46.81235016,46.50005923,46.78124699
23/12/1993,533800,46.7500533,46.8436549,46.68753848,46.74999036
24/12/1993,,,,,
27/12/1993,527100,46.75004442,46.9998922,46.75001146,47.00007361
28/12/1993,880600,46.96881236,47.12509464,46.93741863,47.09376264
29/12/1993,266700,47.12512886,47.15625075,47.00012062,47.03130444
30/12/1993,219900,46.9999132,47.0002005,46.74998875,46.84362822
31/12/1993,323300,46.93749286,47.00006475,46.56263339,46.59374977
03/01/1994,960900,46.59384561,46.65633534,46.40627096,46.46869724
04/01/1994,164300,46.53144256,46.65617429,46.46884148,46.65617268
05/01/1994,710900,46.71875628,46.78129565,46.53124158,46.74989555
06/01/1994,201000,46.81241685,46.8438253,46.68765961,46.74984751
07/01/1994,795500,46.84368968,47.06244374,46.71877825,47.03145051
10/01/1994,593700,47.09383993,47.59366981,46.96870171,47.59375269
11/01/1994,348300,47.56269139,47.56238536,47.34388209,47.50017722
12/01/1994,158400,47.53130102,47.53125075,47.18747163,47.34372415
13/01/1994,244300,47.21884245,47.31253416,47.15624523,47.21886291
14/01/1994,137200,47.37483413,47.50023842,47.37479194,47.4063562
17/01/1994,17700,47.40628392,47.46883858,47.31259977,47.40630489
18/01/1994,166400,47.4687358,47.53138928,47.37506925,47.46866789
19/01/1994,200800,47.40622501,47.4687763,47.25008223,47.34383105
20/01/1994,278800,47.40630653,47.50000467,47.37502376,47.46883832
21/01/1994,85600,47.53137143,47.53146592,47.34383947,47.374862
24/01/1994,373800,47.34389496,47.56270014,47.18757743,47.18740727
25/01/1994,310400,47.21871436,47.2499706,47.09392848,47.1876053
26/01/1994,155100,47.18728899,47.3437857,47.12491562,47.31240506
27/01/1994,346000,47.40638385,47.81237,47.34383381,47.74992076
28/01/1994,356500,47.93741066,48.03115347,47.87509575,47.87509014
31/01/1994,314200,48.06262155,48.31232882,48.0000981,48.21870509
01/02/1994,303600,48.15635135,48.15619726,47.90632937,47.96871124
02/02/1994,307600,48.1249805,48.28131613,184.915024,48.28131457
03/02/1994,466100,48.18748121,48.18751129,47.90613853,48.06236636
04/02/1994,1403200,48.06252761,48.12500083,46.96878414,46.96856293
07/02/1994,516400,46.84398876,47.3124615,46.84371036,47.18733482
08/02/1994,195500,47.28120248,47.28133279,47.03123861,47.218666
09/02/1994,144600,47.24987747,47.43753801,47.18760857,47.40624457
10/02/1994,883900,47.3748596,47.40633668,47.00010156,46.99986533
11/02/1994,519400,47.03123965,47.28127295,46.81250085,47.15628779
14/02/1994,2777100,47.06269154,47.37504153,46.99991563,47.21904212
15/02/1994,374700,47.3123981,47.500039,47.25001453,47.46880768
16/02/1994,287600,47.53131211,47.53124668,47.34370953,47.43757953
17/02/1994,342400,47.65624648,47.68742834,47.03144255,47.15636263
18/02/1994,313600,47.18756527,47.21868931,46.75009551,46.87496683
21/02/1994,,,,,
22/02/1994,154500,47.00003076,47.34394936,46.99989619,47.3438312
23/02/1994,391700,47.40646718,47.4375252,47.06261832,47.21878381
24/02/1994,770800,47.06239649,47.06258822,46.56236351,46.59365296
25/02/1994,531300,46.6563284,46.81261742,46.56259646,46.81242085
28/02/1994,343000,46.9375639,47.06260326,46.81256431,46.81238
01/03/1994,422300,46.87496197,46.9063506,46.37511311,46.62519321
02/03/1994,581500,46.06255121,46.68754909,45.93741464,46.68736298
03/03/1994,223200,46.62498405,46.62484297,46.43757048,46.56264002
04/03/1994,595800,46.56239169,46.81268162,46.4065876,46.68737397
07/03/1994,549800,46.87496769,46.99998065,46.87503246,46.93746815
08/03/1994,880300,46.96877223,46.96873415,46.68748629,46.75007869
09/03/1994,2500100,46.81248396,47.00006812,46.59386135,46.96903215
10/03/1994,210400,46.96882823,46.96878902,46.46870772,46.59378294
11/03/1994,581600,46.68756151,46.90620616,46.43743528,46.84380558
14/03/1994,345900,47.03134322,47.03128905,46.843771,46.90629599
15/03/1994,773600,47.03138394,47.12511438,46.84379417,46.8750164
16/03/1994,480500,46.96871446,47.25005204,46.81259074,47.25006709
17/03/1994,133000,47.09386219,47.31252154,47.09387268,47.24998721
18/03/1994,379500,46.75007722,47.03145621,46.71876767,46.96880193
21/03/1994,324800,46.81273319,46.93743556,46.71904477,46.84378494
22/03/1994,435700,46.84376966,47.0625208,46.74986136,46.96870738
23/03/1994,713500,46.93755811,47.06236517,46.90625437,46.93771097
24/03/1994,1200500,46.75012721,46.84363432,46.15646288,46.37511542
25/03/1994,101700,46.4062495,46.53124833,45.93742646,45.93755151
28/03/1994,1117200,45.99983203,46.0625056,45.59374544,46.00006555
29/03/1994,338400,46.00009001,46.03139215,45.09376611,45.09383801
30/03/1994,1123500,45.12513612,45.24997512,44.46874852,44.46878971
31/03/1994,788800,44.46882658,44.68753443,43.53123253,44.59384224
01/04/1994,,,,,
04/04/1994,2627300,43.34378289,44.03136659,43.34375049,43.9063998
05/04/1994,1179000,44.34407105,44.81250523,44.34363527,44.81254532
06/04/1994,516500,44.87510524,44.90631685,44.50006775,44.81244692
07/04/1994,666100,44.78131852,45.1250179,44.5312542,45.03137135
08/04/1994,242400,44.93752787,44.93750099,44.46862318,44.68758166
11/04/1994,201300,44.81249802,45.06251325,44.70313626,45.03131609
12/04/1994,1409200,44.92180825,45.00004031,44.71866761,44.81250491
13/04/1994,364100,44.79686234,44.90640252,44.25010081,44.57798571
14/04/1994,419900,44.5000703,44.82793434,44.40635535,44.59387584
15/04/1994,387300,44.57809048,45.00008175,44.51555121,44.59378421
18/04/1994,369100,44.6406413,44.76557715,44.15643363,44.29688892
19/04/1994,472200,44.24988642,44.53121837,43.9844753,44.35940572
20/04/1994,508000,44.40635687,44.51554601,44.07825576,44.31237879
21/04/1994,200300,44.50007416,44.96897485,44.34386936,44.90639008
22/04/1994,301800,45.01568198,45.04668784,44.7344077,44.85953089
25/04/1994,394600,44.84380721,45.35936415,44.84383691,45.32805002
26/04/1994,389000,45.26549582,45.34390552,45.18756252,45.281327
27/04/1994,,,,,
28/04/1994,287000,45.18748528,45.24994149,44.81252135,44.95302396
29/04/1994,481900,44.875002,45.15606914,44.81241329,45.09383603
02/05/1994,275000,45.09375015,45.71867771,44.93747887,45.37507637
03/05/1994,183400,45.39070582,45.40630708,45.0623371,45.32824166
04/05/1994,401900,45.42189872,45.42176082,45.07790572,45.25000875
05/05/1994,663300,45.29686293,45.37516295,45.18752211,45.18762539
06/05/1994,216300,43.96892393,44.93726073,43.96885628,44.74999023
09/05/1994,499300,44.62493736,44.75014981,44.28125263,44.35947253
10/05/1994,583900,44.57821756,44.84378074,44.54687509,44.70300599
11/05/1994,210600,44.65632443,44.71865586,44.1719175,44.29696507
12/05/1994,305200,44.57796625,44.62501899,44.40641283,44.51553694
13/05/1994,321300,44.64064597,44.64063198,44.29696474,44.51563417
16/05/1994,450400,44.60947282,44.75005394,44.51544039,44.53113258
17/05/1994,490200,44.56261131,45.18741316,44.23445157,45.18742537
18/05/1994,824800,45.21871729,45.68738202,45.03126799,45.51551152
19/05/1994,531000,45.42202627,45.85950908,45.42177499,45.73443447
20/05/1994,370400,45.65635655,45.6876278,45.50018541,45.56250253
23/05/1994,262700,45.515546,45.53142782,45.34367495,45.48444076
24/05/1994,549600,45.60941822,45.84381698,45.60938232,45.67199952
25/05/1994,738200,45.49988039,45.82794397,45.34373969,45.79698885
26/05/1994,369600,45.781291,45.93753768,45.73440233,45.82817414
27/05/1994,162000,45.75019912,45.87489386,45.67181947,45.87500235
30/05/1994,,,,,
31/05/1994,159700,45.68739976,45.9063985,45.6564765,45.81232015
01/06/1994,200500,45.70319928,46.01543871,45.56236341,46.01572078
02/06/1994,55100,46.04684619,46.04688596,45.89073021,45.96886753
03/06/1994,550400,46.00002163,46.39058457,45.85937962,46.23434605
06/06/1994,99300,46.32805958,46.46874195,46.18755125,46.21866416
07/06/1994,120600,46.14073875,46.2189931,46.03117316,46.15631876
08/06/1994,131900,46.26572454,46.26553792,45.78141845,45.78137219
09/06/1994,95500,45.98439135,46.03134891,45.89059582,46.03132435
10/06/1994,83100,46.07815589,46.20283911,46.07794109,46.10920242
13/06/1994,109700,46.04685693,46.18754458,46.03149584,46.17207652
14/06/1994,161000,46.31250476,46.54696722,46.3125443,46.53133606
15/06/1994,142800,46.54711589,46.56254059,46.31247215,46.34367026
16/06/1994,44100,46.34367454,46.46880021,46.29705897,46.43749774
17/06/1994,460500,46.15636475,46.20307651,45.81246486,45.87489534
20/06/1994,137400,45.54697717,45.62503896,45.43751088,45.48426417
21/06/1994,139200,45.45315492,45.45293312,44.90636116,45.09390215
22/06/1994,286900,45.21883524,45.42187539,45.17192079,45.26577248
23/06/1994,922500,45.34378896,45.40631387,44.93742228,44.99995767
24/06/1994,353800,44.78128064,44.78147315,44.00011439,44.06249711
27/06/1994,371200,44.23445834,44.82817593,44.01569492,44.82821668
28/06/1994,5382300,44.84374066,44.84397581,44.24989039,44.60944904
29/06/1994,311800,44.67176478,45.01559604,44.62513024,44.75010115
30/06/1994,271900,44.82825552,44.84373303,44.31244173,44.46881718
01/07/1994,406900,44.68758584,44.68759027,44.37500587,44.56238551
04/07/1994,,,,,
05/07/1994,112000,44.65620953,44.85935005,44.5156832,44.79678618
06/07/1994,174800,44.62504644,293.691732,44.46878278,44.73434343
07/07/1994,66700,44.73427649,44.92179548,44.68764645,44.92187622
08/07/1994,148400,44.64061794,44.98432992,44.62490922,44.90627744
11/07/1994,124000,44.93753549,45.01552912,44.53126954,44.75005013
12/07/1994,257300,44.76558281,44.82824905,44.51574058,44.8123018
13/07/1994,532700,44.82806469,45.03128028,44.82804328,44.89071596
14/07/1994,544200,45.10941254,45.46867309,45.07803864,45.37500933
15/07/1994,49100,45.34385247,45.48438596,45.32782633,45.39061925
18/07/1994,72300,45.39046038,45.57815591,45.39060034,45.46882667
19/07/1994,609500,45.54681778,45.56243617,45.37488323,45.37506467
20/07/1994,185300,45.40639511,45.4062138,45.06234952,45.17196562
21/07/1994,86300,45.17191524,45.29685643,45.07810298,45.26538365
22/07/1994,151600,45.37491511,45.40634742,45.2500342,45.34387474
25/07/1994,120900,45.35928621,45.45298237,45.31244305,45.4064388
26/07/1994,489600,45.39053311,45.42209356,45.31256216,45.35948476
27/07/1994,83200,45.3592854,45.35947431,45.17207678,45.35952827
28/07/1994,828200,45.35932542,45.57806972,45.35935394,45.45301982
29/07/1994,459100,45.7654592,46.04688182,45.74996542,45.90630348
01/08/1994,486300,45.93753381,46.15633562,45.8906642,46.12515921
02/08/1994,505500,46.28118308,46.37495085,46.03125906,46.31236401
03/08/1994,144100,46.17205525,46.234396,46.09384749,46.20331011
04/08/1994,231700,46.17189131,46.21879826,45.92181349,45.93730655
05/08/1994,138400,45.70303933,45.84385939,45.65621819,45.78128103
08/08/1994,328600,45.82823592,45.93749607,45.78130064,45.8904542
09/08/1994,105900,45.71886906,45.9687629,45.7188436,45.96878141
10/08/1994,840300,45.9999548,46.18744406,45.93770213,46.14052527
11/08/1994,881200,46.03118195,46.23430743,45.73435454,45.96872179
12/08/1994,184100,46.04704429,46.34387462,46.04699623,46.32820042
15/08/1994,325900,46.37501954,46.48443408,46.31246261,46.31244403
16/08/1994,1089500,46.34387657,46.68739605,46.15614454,46.64055511
17/08/1994,130500,46.7029947,46.7342899,46.5780706,46.60935817
18/08/1994,620000,46.45299615,46.56244706,46.40632093,46.45314815
19/08/1994,104200,46.46878206,46.51552047,46.31247489,46.4218587
22/08/1994,79700,46.43755886,46.43738154,46.28134756,46.37497229
23/08/1994,268600,46.57789417,46.85929794,46.51563355,46.64073098
24/08/1994,254700,46.68741411,47.14058509,46.67196139,47.14076917
25/08/1994,147400,47.0937414,47.20334212,46.89062153,47.01559797
26/08/1994,342600,47.12482546,47.78127216,47.12509573,47.68756772
29/08/1994,349800,47.81261963,47.98455791,47.64073229,47.65624032
30/08/1994,36000,47.64067995,47.85943583,47.57811992,47.7814156
31/08/1994,356200,47.70310544,47.89068821,47.59377195,47.65631926
01/09/1994,295300,47.4999622,47.53138776,47.32811306,47.49995664
02/09/1994,99600,47.71899909,47.71852064,47.21874458,47.29685059
05/09/1994,,,,,
